imgUrl,title,author,length,releaseDate,language,rating,price,sampleVideo
https://m.media-amazon.com/images/I/512sFsKaKOL._SL500_.jpg,"Mushoku Tensei: Jobless Reincarnation (Light Novel), Vol. 25",Rifujin na Magonote,6 hrs and 38 mins,09-19-24,English,2 ratings,$19.95,https://samples.audible.com/bk/acx0/414482/bk_acx0_414482_sample.mp3
https://m.media-amazon.com/images/I/51sTJjgnEDL._SL500_.jpg,Zodiac Academy,Caroline Peckham,10 hrs and 21 mins,09-18-24,English,1 rating,$24.95,https://samples.audible.com/bk/acx0/415306/bk_acx0_415306_sample.mp3
https://m.media-amazon.com/images/I/51SnivDqx-L._SL500_.jpg,Star Wars: Padawan's Pride,Disney Lucasfilm Press,3 hrs and 57 mins,09-19-24,English,26 ratings,$16.00,https://samples.audible.com/or/orig/002555/or_orig_002555_sample.mp3
https://m.media-amazon.com/images/I/51qFOWnXrjL._SL500_.jpg,The Shatterplate War: The Splintered Five Saga,WillPowah,13 hrs and 33 mins,09-17-24,English,19 ratings,$24.95,https://samples.audible.com/bk/acx0/414731/bk_acx0_414731_sample.mp3
https://m.media-amazon.com/images/I/51iETLR6urL._SL500_.jpg,Pucking Sweet,Emily Rath,19 hrs and 44 mins,09-24-24,English,Not rated yet,$24.49,
https://m.media-amazon.com/images/I/51T8EeZqotL._SL500_.jpg,Knight of Shadows,Kel Kade,14 hrs and 54 mins,12-17-24,English,Not rated yet,$54.99,
https://m.media-amazon.com/images/I/51WMQbsB8eL._SL500_.jpg,Her Last Walk Home,Patricia Gibney,13 hrs,09-20-24,English,1 rating,$24.95,https://samples.audible.com/bk/acx0/413847/bk_acx0_413847_sample.mp3
https://m.media-amazon.com/images/I/51r5irxcK+L._SL500_.jpg,Mimic & Me 3,Cassius Lange,17 hrs and 3 mins,09-24-24,English,Not rated yet,$24.95,
https://m.media-amazon.com/images/I/41fyCdeSTiL._SL500_.jpg,Loving the CEO,Layla Hagen,7 hrs and 12 mins,09-18-24,English,3 ratings,$19.95,https://samples.audible.com/bk/acx0/415308/bk_acx0_415308_sample.mp3
https://m.media-amazon.com/images/I/51iG4rnNGRL._SL500_.jpg,Blood of Hercules,Jasmine Mas,13 hrs,11-26-24,English,Not rated yet,$29.11,
https://m.media-amazon.com/images/I/51maCCjZ1eL._SL500_.jpg,"Reincarnated as a Sword (Light Novel), Vol. 2",Yuu Tanaka,10 hrs and 4 mins,09-18-24,English,1 rating,$24.95,https://samples.audible.com/bk/acx0/414479/bk_acx0_414479_sample.mp3
https://m.media-amazon.com/images/I/51Ahm+WWsML._SL500_.jpg,City of Gods and Monsters,Kayla Edwards,23 hrs and 36 mins,11-12-24,English,Not rated yet,$59.99,
https://m.media-amazon.com/images/I/51QRe2jn5NL._SL500_.jpg,Astral Odyssey 2,Virgil Knightley,10 hrs and 2 mins,09-19-24,English,1 rating,$48.99,https://samples.audible.com/bk/royg/000727/bk_royg_000727_sample.mp3
https://m.media-amazon.com/images/I/51mwSfSS6kL._SL500_.jpg,Blood Oath,Morgan B Lee,9 hrs and 18 mins,09-18-24,English,6 ratings,$19.95,https://samples.audible.com/bk/acx0/414262/bk_acx0_414262_sample.mp3
https://m.media-amazon.com/images/I/51J5HftMpTL._SL500_.jpg,Mythos University: Book 3,Alan Moria,16 hrs and 44 mins,09-17-24,English,9 ratings,$54.99,https://samples.audible.com/bk/royg/000718/bk_royg_000718_sample.mp3
https://m.media-amazon.com/images/I/512L9MWLL5L._SL500_.jpg,Cruel Sentence,Michael Stagg,11 hrs and 40 mins,11-12-24,English,Not rated yet,$49.99,
https://m.media-amazon.com/images/I/41zKO4TFnbL._SL500_.jpg,La Supraconciencia existe,Dr. Manuel Sans Segarra,5 hrs and 23 mins,09-18-24,Spanish,Not rated yet,$20.00,https://samples.audible.com/bk/edpl/003191/bk_edpl_003191_sample.mp3
https://m.media-amazon.com/images/I/51fRIxmgq4L._SL500_.jpg,Fey Druid,M.D. Massey,7 hrs and 55 mins,09-17-24,English,Not rated yet,$19.95,https://samples.audible.com/bk/acx0/415151/bk_acx0_415151_sample.mp3
https://m.media-amazon.com/images/I/51jZbNQvS0L._SL500_.jpg,Undeniably Infatuated,J. Saman,11 hrs and 28 mins,09-20-24,English,5 ratings,$24.95,https://samples.audible.com/bk/acx0/414462/bk_acx0_414462_sample.mp3
https://m.media-amazon.com/images/I/517D3PrqwOL._SL500_.jpg,Huntsong,pirateaba,30 hrs and 31 mins,12-10-24,English,Not rated yet,$59.99,
https://m.media-amazon.com/images/I/51n9qmleJ2L._SL500_.jpg,Dungeon Diving 202,Bruce Sentar,10 hrs and 16 mins,10-09-24,English,Not rated yet,$24.95,
https://m.media-amazon.com/images/I/51+eaPj-wML._SL500_.jpg,A Woman Underground,Andrew Klavan,9 hrs,10-14-24,English,Not rated yet,$17.49,
https://m.media-amazon.com/images/I/51RSOKWBcmL._SL500_.jpg,Naughty: Erotic Sex Stories,Lauren Rose,10 hrs and 10 mins,09-18-24,English,30 ratings,$34.99,https://samples.audible.com/bk/pudi/001486/bk_pudi_001486_sample.mp3
