title,author,length,releaseDate,language
A Very No Strings Halloween,"Kayley Loring,Connor Crais",Length: 6 hrs and 10 mins,Releasedate:10-04-24,Language:English
Inheriting Miss Fortune,Lucy Lennox,Length: 9 hrs and 17 mins,Releasedate:10-04-24,Language:English
Crave,Chelle Bliss,Length: 2 hrs and 44 mins,Releasedate:10-04-24,Language:English
Dark Awakening,I. T. Lucas,Length: 10 hrs and 12 mins,Releasedate:10-04-24,Language:English
Loremaster: Winged Wolf,M.E. Robinson,Length: 22 hrs and 16 mins,Releasedate:10-03-24,Language:English
Outer Dark,Robbie MacNiven,Length: 8 hrs and 47 mins,Releasedate:10-05-24,Language:English
When Wizards Follow Fools,Andrew Rowe,Length: 21 hrs and 2 mins,Releasedate:03-18-25,Language:English
Blood Money,Silvia Violet,Length: 6 hrs and 45 mins,Releasedate:10-04-24,Language:English
To Catch a Falling Leaf,J. P. Valentine,Length: 10 hrs and 38 mins,Releasedate:10-03-24,Language:English
Big Dumb Eyes,Nate Bargatze,Length: 7 hrs,Releasedate:05-06-25,Language:English
Warlords of the Circle Sea Omnibus,Ember Lane,Length: 130 hrs and 6 mins,Releasedate:10-03-24,Language:English
Knight of Shadows,Kel Kade,Length: 14 hrs and 54 mins,Releasedate:12-17-24,Language:English
Empire,Nicoli Gonnella,Length: 21 hrs and 37 mins,Releasedate:10-09-24,Language:English
Binaural Beats Delta and Theta Waves Targeting Deep Relaxation and Sleep,Katherine Coleman,Length: 11 hrs and 54 mins,Releasedate:10-03-24,Language:English
We Three Queens,Rhys Bowen,Length: Not Yet Known,Releasedate:11-19-24,Language:English
The Anaconda Downstairs,Amy Award,Length: 9 hrs and 37 mins,Releasedate:11-30-24,Language:English
Dragonhunters,Garon Whited,Length: 8 hrs and 54 mins,Releasedate:10-03-24,Language:English
She's a Wild One,Kristen Proby,Length: Not Yet Known,Releasedate:12-12-24,Language:English
Sanctuary 2.0,Apollos Thorne,Length: 14 hrs and 14 mins,Releasedate:12-24-24,Language:English
The Last Lion,Nicholas Sansbury Smith,Length: Not Yet Known,Releasedate:10-29-24,Language:English
