title,author,length,releaseDate,language
A Very No Strings Halloween,"Kayley Loring,Connor Crais",Length: 6 hrs and 10 mins,Releasedate:10-04-24,Language:English
Inheriting Miss Fortune,Lucy Lennox,Length: 9 hrs and 17 mins,Releasedate:10-04-24,Language:English
Crave,Chelle Bliss,Length: 2 hrs and 44 mins,Releasedate:10-04-24,Language:English
Dark Awakening,I. T. Lucas,Length: 10 hrs and 12 mins,Releasedate:10-04-24,Language:English
Loremaster: Winged Wolf,M.E. Robinson,Length: 22 hrs and 16 mins,Releasedate:10-03-24,Language:English
Outer Dark,Robbie MacNiven,Length: 8 hrs and 47 mins,Releasedate:10-05-24,Language:English
When Wizards Follow Fools,Andrew Rowe,Length: 21 hrs and 2 mins,Releasedate:03-18-25,Language:English
Blood Money,Silvia Violet,Length: 6 hrs and 45 mins,Releasedate:10-04-24,Language:English
To Catch a Falling Leaf,J. P. Valentine,Length: 10 hrs and 38 mins,Releasedate:10-03-24,Language:English
Big Dumb Eyes,Nate Bargatze,Length: 7 hrs,Releasedate:05-06-25,Language:English
Warlords of the Circle Sea Omnibus,Ember Lane,Length: 130 hrs and 6 mins,Releasedate:10-03-24,Language:English
Knight of Shadows,Kel Kade,Length: 14 hrs and 54 mins,Releasedate:12-17-24,Language:English
Empire,Nicoli Gonnella,Length: 21 hrs and 37 mins,Releasedate:10-09-24,Language:English
Binaural Beats Delta and Theta Waves Targeting Deep Relaxation and Sleep,Katherine Coleman,Length: 11 hrs and 54 mins,Releasedate:10-03-24,Language:English
We Three Queens,Rhys Bowen,Length: Not Yet Known,Releasedate:11-19-24,Language:English
The Anaconda Downstairs,Amy Award,Length: 9 hrs and 37 mins,Releasedate:11-30-24,Language:English
Dragonhunters,Garon Whited,Length: 8 hrs and 54 mins,Releasedate:10-03-24,Language:English
She's a Wild One,Kristen Proby,Length: Not Yet Known,Releasedate:12-12-24,Language:English
Sanctuary 2.0,Apollos Thorne,Length: 14 hrs and 14 mins,Releasedate:12-24-24,Language:English
The Last Lion,Nicholas Sansbury Smith,Length: Not Yet Known,Releasedate:10-29-24,Language:English
"The Weakest Tamer Began a Journey to Pick Up Trash, Vol. 4",Honobonoru500,Length: 9 hrs and 49 mins,Releasedate:10-04-24,Language:English
The Next Conversation,Jefferson Fisher,Length: 11 hrs,Releasedate:03-18-25,Language:English
Quicksilver,Callie Hart,Length: 21 hrs and 51 mins,Releasedate:10-29-24,Language:English
Son of Hell,"David Archer,Blake Banner",Length: 5 hrs and 20 mins,Releasedate:10-03-24,Language:English
For All the World,Jean Grainger,Length: 8 hrs and 48 mins,Releasedate:10-03-24,Language:English
Distant Warning,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 49 mins,Releasedate:11-12-24,Language:English
City of Gods and Monsters,Kayla Edwards,Length: 23 hrs and 36 mins,Releasedate:11-12-24,Language:English
Summary & Workbook: $100M Leads,Alex Hormozi,Length: 2 hrs and 36 mins,Releasedate:10-04-24,Language:English
There's Only One Noon Yeah,Rob Bell,Length: 8 hrs and 10 mins,Releasedate:10-03-24,Language:English
Turned by the Midlife Wolf,Meg Ripley,Length: 5 hrs and 22 mins,Releasedate:10-03-24,Language:English
From Here to the Great Unknown,"Lisa Marie Presley,Riley Keough",Length: 5 hrs and 42 mins,Releasedate:10-08-24,Language:English
Inseparable,A.H. Hadley,Length: 17 hrs and 33 mins,Releasedate:10-03-24,Language:English
The Late Lord Thorpe,Peter Grainger,Length: 14 hrs,Releasedate:10-29-24,Language:English
